files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/slide2/short2/Novice6_11A_sl2_sit.set,-12.953357220112357,-13.35630388762149,-12.72527335896768,-10.640046910613602,-11.588665679805008,-13.423464988998157,-11.677015986378823,-12.584597515137197,-12.732008066613066,-7.470013954340844,-6.297451290557712,-6.714445231872541,-6.160810551208018,-6.750571676870736,-6.007189834697315,-5.643181641163283,-6.539391802833094,-5.860717146811305,Novice,S6,algebra,sit
data/slide2/short2/Novice53_4A_sl2_stand.set,-10.342232004382886,-11.039306030395828,-11.172614546690038,-11.960297584681747,-10.54420457297377,-12.005095217421088,-11.468547950689056,-11.84888402421785,-10.347605121248682,-7.294155666328289,-6.590659676768124,-8.738183341703854,-7.3371519110849475,-6.631018079494714,-6.396699542434232,-6.881896141648009,-7.549064140023765,-8.137386421417064,Novice,S53,algebra,stand
data/slide2/short2/Novice53_5A_sl2_sit.set,-10.893449103235106,-13.087525407335843,-10.815347247237586,-11.17645592036116,-12.023065287040565,-12.47019251054033,-9.872001609620286,-11.478245951006322,-10.636838381767319,-6.554249178510853,-7.174345060723984,-6.422783608491595,-6.289696508005242,-7.874444425186143,-7.000006782143272,-6.560056421189368,-6.233667153378054,-5.6307944172282935,Novice,S53,algebra,sit
data/slide2/short2/Novice53_7A_sl2_sit.set,-12.323500496873312,-11.46154297597476,-12.049301026166638,-11.452100862552886,-12.346759724445626,-11.350427947048217,-13.524082403518126,-11.54643881055213,-11.147512214349728,-6.132746550133415,-6.4014544696251665,-6.333546887427536,-7.0963023205185465,-6.352561711614145,-5.939677446039291,-4.978194680781604,-6.2122440277577615,-6.080236476191206,Novice,S53,algebra,sit
data/slide2/short2/Novice53_9A_sl2_stand.set,-10.707044101323532,-13.22430561419244,-11.283462792033998,-10.916131697143847,-11.656634049468748,-12.259551904439201,-10.238862744039283,-11.153459023612976,-10.371297946945448,-6.442987814621721,-6.008670422384004,-6.548171450860602,-6.199661534901869,-6.2847720123299515,-5.862158906996851,-6.676874021070189,-5.982077883441113,-5.356763164791511,Novice,S53,algebra,stand
data/slide2/short2/Novice63_11A_sl2_sit.set,-11.50571310490796,-10.451032752415374,-11.28226279680789,-10.951614145575302,-10.389633488956218,-12.787769377965878,-10.35378420237634,-12.144246640930128,-11.276975120529618,-5.92957922596183,-5.901073158889584,-5.629758033914828,-5.410366247575041,-5.9055496266283125,-4.613311079728436,-4.900599635827166,-5.774715753614513,-5.606478503474559,Novice,S63,algebra,sit
data/slide2/short2/Novice63_1A_sl2_stand.set,-11.166514684859036,-12.543012858356626,-12.23715450748141,-10.98617418476,-12.239707448817603,-11.45672278277654,-10.116905531620716,-12.919397867504312,-11.797502919771938,-6.998906926908272,-7.258064992940531,-6.024134516083896,-5.7778785468535565,-7.09332425015855,-6.050210391960922,-6.276564521176045,-6.508559419122905,-5.284534924602853,Novice,S63,algebra,stand
data/slide2/short2/Novice52_3A_sl2_stand.set,-10.069383814959018,-13.107259040852615,-12.360286457610297,-12.117551717050786,-11.053327225520643,-12.138777730067648,-10.573685927432802,-12.084134026041806,-10.431394825976339,-6.067007925027033,-6.726148638778385,-6.3192840116726705,-6.2678799478714335,-6.4226547258664555,-6.048991533589595,-6.720955690223046,-6.78807612525318,-5.903723569200475,Novice,S52,algebra,stand
data/slide2/short2/Novice52_4A_sl2_stand.set,-11.39447721140762,-11.75088746050054,-11.111400680443735,-11.01756176949374,-11.446163370849376,-11.194317786417963,-12.583765837051333,-10.825627193195754,-10.870914659024573,-6.196765530726169,-6.784057428372494,-6.10177952986353,-5.719138378419758,-6.275721230442378,-5.876978815723387,-6.8424990114026985,-6.290911114965867,-7.25387771168042,Novice,S52,algebra,stand
data/slide2/short2/Novice52_5A_sl2_sit.set,-11.853536414573018,-11.591967669120198,-11.401623219168432,-12.239262001336893,-11.704905612006998,-13.96396222445785,-11.532478045674852,-12.042416626486734,-12.573807859578546,-6.931450708053963,-6.911784344883411,-6.578577350062292,-6.614215604284389,-8.001973632866468,-7.124445922522952,-5.682461121392146,-6.66118695510095,-7.058114037857497,Novice,S52,algebra,sit
data/slide2/short2/Novice52_7A_sl2_sit.set,-10.25739501980374,-9.643400345975724,-9.33234799004082,-9.141938381920601,-9.650392830142982,-10.024543180310726,-10.580647746726857,-9.674264270255765,-9.545948858772668,-6.777713445100977,-6.104013943402288,-6.26278437813433,-5.750523576725598,-6.55127673998925,-5.588478408626488,-6.248040475176958,-6.11966846731303,-6.361374952592257,Novice,S52,algebra,sit
data/slide2/short2/Novice52_9A_sl2_stand.set,-11.562358203269827,-11.039850216386322,-10.255039521351227,-9.441350995830526,-11.209632495369446,-12.37736268209964,-10.631113406506676,-10.39028699496875,-9.651020419918627,-6.753104512370673,-6.663170983194805,-6.353804755451292,-5.607208213827596,-7.05092373935117,-6.575016644738672,-6.535972791972798,-5.8879194415798075,-5.626904624254632,Novice,S52,algebra,stand
data/slide2/short2/Novice53_11A_sl2_stand.set,-10.167191869649248,-9.86826717766789,-10.994986285034281,-12.212615604329981,-9.608279178164754,-9.808938467460736,-12.959154773253236,-11.38050747428261,-13.95416276576238,-7.230866360412432,-6.319942458937136,-6.558674353919332,-6.093442743230987,-7.064244977063687,-6.206420623245301,-6.633564482612558,-6.1943227532577145,-6.814636525335272,Novice,S53,algebra,stand
data/slide2/short2/Novice53_1A_sl2_sit.set,-11.900934243612763,-12.579713183031192,-10.83216700459039,-11.854509725685343,-12.025769186118065,-12.586380488588514,-12.89922431572361,-11.028845664090092,-11.393592651198656,-6.554638338872097,-6.21362490884357,-7.0096545127380425,-6.317433099622986,-6.206660879525989,-6.394118693814251,-6.322837326862188,-6.827928274502471,-6.6185801594291345,Novice,S53,algebra,sit
data/slide2/short2/Novice4_4A_sl2_stand.set,-11.022550488778972,-10.558422195604392,-10.456563713605359,-10.601293488970343,-10.252009904549322,-10.45810056708488,-13.606978504585376,-10.532206211883151,-10.993979430408592,-5.625394731032023,-6.008065505795532,-7.336993767903981,-7.006759448189735,-5.8926413997300875,-6.272730249974612,-5.831805530591945,-7.006902363287601,-5.9979925855404534,Novice,S4,algebra,stand
data/slide2/short2/Novice4_5A_sl2_sit.set,-12.355045389851881,-10.869253258825468,-10.889325208332743,-10.76544244669016,-11.589314337445977,-11.0111801830488,-10.432140925654933,-11.36524862800253,-10.560335102976929,-6.012669995924113,-5.728265005057233,-6.748904346591563,-6.679940282834451,-5.644793096879573,-5.876062300148961,-5.216494116396581,-6.584895516003831,-6.045072361747438,Novice,S4,algebra,sit
data/slide2/short2/Novice4_7A_sl2_sit.set,-10.044255693593335,-9.251694715064364,-9.496287345018589,-8.883718372024791,-9.875154819736588,-9.047911985003022,-9.985442877545468,-8.931146187013853,-8.10282989532298,-7.183702374210059,-6.5940317068708865,-6.6114101308176245,-6.396428794252475,-6.0292368373832534,-6.371129430869468,-6.312317277252574,-6.494765085494156,-6.842248684646307,Novice,S4,algebra,sit
